anonymizer,params,n_samples,closed_set_top1,verification_auc,adaptive_acc,privacy_score,acc_original,acc_anonymized,acc_delta,expr_consistency,expr_match_rate,utility_score,fid,lpips_mean,psnr_mean,ssim_mean,_source
blackout,{},50,0.02,0.0,0.0,0.98,0.26,0.2,-0.06,0.0,0.2,0.08000000000000002,-1.0,1.003006100654602,4.901336633008999,0.01636434936495456,results\baseline_sweep\run_blackout\frontier_row.csv
blur,"{""kernel_size"": 101}",50,0.4,0.0,0.0,0.6,0.26,0.22,-0.04000000000000001,0.0,0.38,0.08800000000000001,-1.0,0.584145188331604,19.882485149299836,0.6538326185248114,results\baseline_sweep\run_blur_kernel_size101\frontier_row.csv
blur,"{""kernel_size"": 11}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,0.8976592123508453,0.88,0.6425955274105072,-1.0,0.03525334224104881,38.10049355986447,0.9799269948548427,results\baseline_sweep\run_blur_kernel_size11\frontier_row.csv
blur,"{""kernel_size"": 21}",50,1.0,0.0,0.0,0.0,0.26,0.24,-0.020000000000000018,0.45685845613479614,0.66,0.3701150736808777,-1.0,0.13549639284610748,30.84439580104397,0.9201338798751748,results\baseline_sweep\run_blur_kernel_size21\frontier_row.csv
blur,"{""kernel_size"": 31}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,0.25063860416412354,0.62,0.25438316249847415,-1.0,0.25251275300979614,27.18273064814774,0.851448736076633,results\baseline_sweep\run_blur_kernel_size31\frontier_row.csv
blur,"{""kernel_size"": 51}",50,1.0,0.0,0.0,0.0,0.26,0.16,-0.1,0.0,0.48,0.064,-1.0,0.413667231798172,23.49994095944845,0.7544907672803447,results\baseline_sweep\run_blur_kernel_size51\frontier_row.csv
blur,"{""kernel_size"": 71}",50,0.88,0.0,0.0,0.12,0.26,0.16,-0.1,0.0,0.34,0.064,-1.0,0.5066099762916565,21.597154286113188,0.69997935508053,results\baseline_sweep\run_blur_kernel_size71\frontier_row.csv
pixelate,"{""block_size"": 12}",50,0.88,0.0,0.0,0.12,0.26,0.14,-0.12,0.0,0.28,0.05600000000000001,-1.0,0.7727287411689758,23.445569475875416,0.6417916576170282,results\baseline_sweep\run_pixelate_block_size12\frontier_row.csv
pixelate,"{""block_size"": 16}",50,0.6,0.0,0.0,0.4,0.26,0.12,-0.14,0.0,0.14,0.048,-1.0,0.7785309553146362,21.85613376012014,0.5935156289596608,results\baseline_sweep\run_pixelate_block_size16\frontier_row.csv
pixelate,"{""block_size"": 24}",50,0.04,0.0,0.0,0.96,0.26,0.08,-0.18,0.0,0.08,0.032,-1.0,0.8061373829841614,19.612358929577393,0.5602464657109563,results\baseline_sweep\run_pixelate_block_size24\frontier_row.csv
pixelate,"{""block_size"": 32}",50,0.06,0.0,0.0,0.94,0.26,0.08,-0.18,0.0,0.08,0.032,-1.0,0.7859448194503784,18.612317359454888,0.5488889962274403,results\baseline_sweep\run_pixelate_block_size32\frontier_row.csv
pixelate,"{""block_size"": 4}",50,1.0,0.0,0.0,0.0,0.26,0.24,-0.020000000000000018,0.5300907790660858,0.66,0.41405446743965146,-1.0,0.5300325155258179,31.875487682105355,0.9118262140051501,results\baseline_sweep\run_pixelate_block_size4\frontier_row.csv
pixelate,"{""block_size"": 8}",50,1.0,0.0,0.0,0.0,0.26,0.14,-0.12,0.0,0.48,0.05600000000000001,-1.0,0.7465988397598267,26.33005323944412,0.7406361267682027,results\baseline_sweep\run_pixelate_block_size8\frontier_row.csv
ganonymization,"{""conditioning"": ""landmarks_and_parsing""}",50,0.02,0.0,0.0,0.98,0.26,0.1,-0.16,0.0,0.26,0.04000000000000001,-1.0,0.8932358026504517,6.383337840296484,0.08679041259776454,results\conditioning_ablation\run_cond_landmarks_and_parsing\frontier_row.csv
ganonymization,"{""conditioning"": ""landmarks_only""}",50,0.02,0.0,0.0,0.98,0.26,0.1,-0.16,0.0,0.26,0.04000000000000001,-1.0,0.8932358026504517,6.383337840296484,0.08679041259776454,results\conditioning_ablation\run_cond_landmarks_only\frontier_row.csv
ganonymization,"{""conditioning"": ""no_conditioning""}",50,0.02,0.0,0.0,0.98,0.26,0.1,-0.16,0.0,0.28,0.04000000000000001,-1.0,0.8956409692764282,6.354423378123858,0.08340054497435753,results\conditioning_ablation\run_cond_no_conditioning\frontier_row.csv
ganonymization,"{""conditioning"": ""parsing_only""}",50,0.02,0.0,0.0,0.98,0.26,0.1,-0.16,0.0,0.26,0.04000000000000001,-1.0,0.8932358026504517,6.383337840296484,0.08679041259776454,results\conditioning_ablation\run_cond_parsing_only\frontier_row.csv
blur,"{""kernel_size"": 31"," ""loss_variant"": ""feature_level""}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,0.25063860416412354,0.62,0.25438316249847415,-1.0,0.25251275300979614,27.18273064814774,results\expression_loss_ablation\run_expr_loss_feature_level\frontier_row.csv
blur,"{""kernel_size"": 31"," ""loss_variant"": ""kd_logit""}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,0.25063860416412354,0.62,0.25438316249847415,-1.0,0.25251275300979614,27.18273064814774,results\expression_loss_ablation\run_expr_loss_kd_logit\frontier_row.csv
blur,"{""kernel_size"": 31"," ""loss_variant"": ""no_loss""}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,0.25063860416412354,0.62,0.25438316249847415,-1.0,0.25251275300979614,27.18273064814774,results\expression_loss_ablation\run_expr_loss_no_loss\frontier_row.csv
ciagan,"{""device"": ""cpu""}",50,0.02,0.0,0.0,0.98,0.26,0.14,-0.12,0.0,0.3,0.05600000000000001,-1.0,0.9745796322822571,6.401990464202936,0.03451077769061108,results\gan_comparison\run_ciagan\frontier_row.csv
deep_privacy2,"{""model"": ""face"""," ""device"": ""cpu""}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,1.0,1.0,0.704,-1.0,0.0,inf,results\gan_comparison\run_deep_privacy2\frontier_row.csv
ganonymization,"{""weights"": ""publication"""," ""device"": ""cpu""}",50,0.02,0.0,0.0,0.98,0.26,0.1,-0.16,0.0,0.28,0.04000000000000001,-1.0,0.8956409692764282,6.354423378123858,results\gan_comparison\run_ganonymization\frontier_row.csv
k_same,"{""k"": 10}",50,0.04,0.0,0.0,0.96,0.26,0.14,-0.12,0.0,0.3,0.05600000000000001,-1.0,0.4950578212738037,12.743320275244049,0.5308627804873133,results\ksame_sweep\run_k_same_k10\frontier_row.csv
k_same,"{""k"": 2}",50,0.44,0.0,0.0,0.56,0.26,0.22,-0.04000000000000001,0.0,0.36,0.08800000000000001,-1.0,0.31682896614074707,15.053984911566019,0.683404301869187,results\ksame_sweep\run_k_same_k2\frontier_row.csv
k_same,"{""k"": 20}",50,0.06,0.0,0.0,0.94,0.26,0.2,-0.06,0.0,0.26,0.08000000000000002,-1.0,0.5298669934272766,12.707306133434688,0.5330676001028142,results\ksame_sweep\run_k_same_k20\frontier_row.csv
k_same,"{""k"": 5}",50,0.06,0.0,0.0,0.94,0.26,0.18,-0.08000000000000002,0.0,0.22,0.072,-1.0,0.44704264402389526,13.212404425012501,0.552366814350171,results\ksame_sweep\run_k_same_k5\frontier_row.csv
k_same,"{""k"": 50}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,1.0,1.0,0.704,-1.0,0.0,inf,1.0,results\ksame_sweep\run_k_same_k50\frontier_row.csv
